compartment,eec
Bulk soil,1.1119762176723893
Bulk soil,1.1284911255258359
Bulk soil,1.217935415707456
Bulk soil,1.1435254195712288
Bulk soil,1.1464643867580473
Bulk soil,1.225753249344164
Bulk soil,1.16304581029946
Bulk soil,1.0767469382696733
Bulk soil,1.1056573574053237
Bulk soil,1.117716901495002
Bulk soil,1.201204089871973
Bulk soil,1.1579906913528681
Bulk soil,1.1600385725297024
Bulk soil,1.145534135797256
Bulk soil,1.1122079432622962
Bulk soil,1.2293456568401537
Bulk soil,1.1648925239114618
Bulk soil,1.041669142168518
Rhizosphere,1.2420813540938211
Rhizosphere,1.1716325155363239
Rhizosphere,1.1359305776407893
Rhizosphere,1.1869215051205022
Rhizosphere,1.1384397331015657
Rhizosphere,1.1562665262425316
Rhizosphere,1.1624976439290446
Rhizosphere,1.0987984013554553
Rhizosphere,1.2502672226696714
Rhizosphere,1.209202387070191
Rhizosphere,1.1317117837792832
Rhizosphere,1.2752288952641955
Rhizosphere,1.2255878532886089
Rhizosphere,1.1822957110204637
Rhizosphere,1.2537075396627013
Rhizosphere,1.2526880092519825
Rhizosphere,1.2492948648982491
Rhizosphere,1.2413184152460055
Iron plaque,1.764313412283007
Iron plaque,1.7150470631538621
Iron plaque,1.6955229869008066
Iron plaque,1.6895623199190093
Iron plaque,1.664423441686359
Iron plaque,1.7033666177584321
Iron plaque,1.6187682918745387
Iron plaque,1.893516477227081
Iron plaque,1.8166369598643992
Iron plaque,1.630151313343732
Iron plaque,1.687769213176074
Iron plaque,1.6826675717101425
Iron plaque,1.7823972094669054
Iron plaque,1.7133304746822535
Iron plaque,1.7402654811195803
Iron plaque,1.7177162595721038
Iron plaque,1.7165703634166947
Iron plaque,1.8294881827211567
